Round   0, Average loss 0.246
Round   1, Average loss 0.141
Round   2, Average loss 0.080
Round   3, Average loss 0.130
Round   4, Average loss 0.135
Round   5, Average loss 0.092
Round   6, Average loss 0.076
Round   7, Average loss 0.102
Round   8, Average loss 0.094
Round   9, Average loss 0.072
Round  10, Average loss 0.064
Round  11, Average loss 0.079
Round  12, Average loss 0.072
Round  13, Average loss 0.068
Round  14, Average loss 0.055
Round  15, Average loss 0.049
Round  16, Average loss 0.055
Round  17, Average loss 0.057
Round  18, Average loss 0.069
Round  19, Average loss 0.060
Round  20, Average loss 0.070
Round  21, Average loss 0.066
Round  22, Average loss 0.058
Round  23, Average loss 0.051
Round  24, Average loss 0.054
Round  25, Average loss 0.048
Round  26, Average loss 0.064
Round  27, Average loss 0.049
Round  28, Average loss 0.038
Round  29, Average loss 0.052
Round  30, Average loss 0.057
Round  31, Average loss 0.055
Round  32, Average loss 0.041
Round  33, Average loss 0.061
Round  34, Average loss 0.035
Round  35, Average loss 0.035
Round  36, Average loss 0.034
Round  37, Average loss 0.039
Round  38, Average loss 0.037
Round  39, Average loss 0.060
Round  40, Average loss 0.037
Round  41, Average loss 0.060
Round  42, Average loss 0.056
Round  43, Average loss 0.063
Round  44, Average loss 0.039
Round  45, Average loss 0.056
Round  46, Average loss 0.027
Round  47, Average loss 0.034
Round  48, Average loss 0.036
Round  49, Average loss 0.052
Round  50, Average loss 0.050
Round  51, Average loss 0.045
Round  52, Average loss 0.049
Round  53, Average loss 0.040
Round  54, Average loss 0.057
Round  55, Average loss 0.041
Round  56, Average loss 0.040
Round  57, Average loss 0.055
Round  58, Average loss 0.037
Round  59, Average loss 0.047
Round  60, Average loss 0.046
Round  61, Average loss 0.045
Round  62, Average loss 0.035
Round  63, Average loss 0.047
Round  64, Average loss 0.038
Round  65, Average loss 0.033
Round  66, Average loss 0.048
Round  67, Average loss 0.036
Round  68, Average loss 0.037
Round  69, Average loss 0.039
Round  70, Average loss 0.030
Round  71, Average loss 0.037
Round  72, Average loss 0.038
Round  73, Average loss 0.036
Round  74, Average loss 0.035
Round  75, Average loss 0.022
Round  76, Average loss 0.039
Round  77, Average loss 0.045
Round  78, Average loss 0.032
Round  79, Average loss 0.043
Round  80, Average loss 0.048
Round  81, Average loss 0.031
Round  82, Average loss 0.041
Round  83, Average loss 0.042
Round  84, Average loss 0.038
Round  85, Average loss 0.032
Round  86, Average loss 0.036
Round  87, Average loss 0.026
Round  88, Average loss 0.040
Round  89, Average loss 0.037
Round  90, Average loss 0.037
Round  91, Average loss 0.024
Round  92, Average loss 0.042
Round  93, Average loss 0.039
Round  94, Average loss 0.036
Round  95, Average loss 0.026
Round  96, Average loss 0.029
Round  97, Average loss 0.038
Round  98, Average loss 0.036
Round  99, Average loss 0.041
Round 100, Average loss 0.034
Round 101, Average loss 0.039
Round 102, Average loss 0.028
Round 103, Average loss 0.037
Round 104, Average loss 0.039
Round 105, Average loss 0.047
Round 106, Average loss 0.033
Round 107, Average loss 0.033
Round 108, Average loss 0.039
Round 109, Average loss 0.042
Round 110, Average loss 0.032
Round 111, Average loss 0.027
Round 112, Average loss 0.031
Round 113, Average loss 0.039
Round 114, Average loss 0.032
Round 115, Average loss 0.038
Round 116, Average loss 0.031
Round 117, Average loss 0.034
Round 118, Average loss 0.035
Round 119, Average loss 0.020
Round 120, Average loss 0.030
Round 121, Average loss 0.041
Round 122, Average loss 0.023
Round 123, Average loss 0.032
Round 124, Average loss 0.036
Round 125, Average loss 0.037
Round 126, Average loss 0.037
Round 127, Average loss 0.034
Round 128, Average loss 0.032
Round 129, Average loss 0.032
Round 130, Average loss 0.020
Round 131, Average loss 0.042
Round 132, Average loss 0.027
Round 133, Average loss 0.039
Round 134, Average loss 0.038
Round 135, Average loss 0.024
Round 136, Average loss 0.036
Round 137, Average loss 0.026
Round 138, Average loss 0.030
Round 139, Average loss 0.020
Round 140, Average loss 0.036
Round 141, Average loss 0.039
Round 142, Average loss 0.037
Round 143, Average loss 0.020
Round 144, Average loss 0.019
Round 145, Average loss 0.039
Round 146, Average loss 0.023
Round 147, Average loss 0.036
Round 148, Average loss 0.026
Round 149, Average loss 0.025
Round 150, Average loss 0.027
Round 151, Average loss 0.034
Round 152, Average loss 0.025
Round 153, Average loss 0.025
Round 154, Average loss 0.026
Round 155, Average loss 0.035
Round 156, Average loss 0.028
Round 157, Average loss 0.032
Round 158, Average loss 0.024
Round 159, Average loss 0.039
Round 160, Average loss 0.030
Round 161, Average loss 0.030
Round 162, Average loss 0.023
Round 163, Average loss 0.029
Round 164, Average loss 0.029
Round 165, Average loss 0.034
Round 166, Average loss 0.024
Round 167, Average loss 0.028
Round 168, Average loss 0.018
Round 169, Average loss 0.029
Round 170, Average loss 0.023
Round 171, Average loss 0.031
Round 172, Average loss 0.029
Round 173, Average loss 0.031
Round 174, Average loss 0.032
Round 175, Average loss 0.018
Round 176, Average loss 0.022
Round 177, Average loss 0.032
Round 178, Average loss 0.029
Round 179, Average loss 0.037
Round 180, Average loss 0.026
Round 181, Average loss 0.019
Round 182, Average loss 0.035
Round 183, Average loss 0.036
Round 184, Average loss 0.022
Round 185, Average loss 0.023
Round 186, Average loss 0.028
Round 187, Average loss 0.026
Round 188, Average loss 0.030
Round 189, Average loss 0.030
Round 190, Average loss 0.029
Round 191, Average loss 0.029
Round 192, Average loss 0.023
Round 193, Average loss 0.020
Round 194, Average loss 0.022
Round 195, Average loss 0.033
Round 196, Average loss 0.026
Round 197, Average loss 0.033
Round 198, Average loss 0.022
Round 199, Average loss 0.022
Round 200, Average loss 0.032
Round 201, Average loss 0.020
Round 202, Average loss 0.029
Round 203, Average loss 0.027
Round 204, Average loss 0.025
Round 205, Average loss 0.024
Round 206, Average loss 0.032
Round 207, Average loss 0.032
Round 208, Average loss 0.035
Round 209, Average loss 0.032
Round 210, Average loss 0.033
Round 211, Average loss 0.029
Round 212, Average loss 0.027
Round 213, Average loss 0.020
