Round   1, Train Loss 0.294, Train Acc 23.35, Test Loss 2.253, Test Acc 23.29
Round   2, Train Loss 0.182, Train Acc 48.00, Test Loss 1.559, Test Acc 48.24
Round   3, Train Loss 0.121, Train Acc 58.84, Test Loss 1.400, Test Acc 59.04
Round   4, Train Loss 0.107, Train Acc 73.48, Test Loss 0.841, Test Acc 73.98
Round   5, Train Loss 0.136, Train Acc 67.93, Test Loss 0.908, Test Acc 68.46
Round   6, Train Loss 0.097, Train Acc 52.67, Test Loss 1.369, Test Acc 53.23
Round   7, Train Loss 0.086, Train Acc 81.93, Test Loss 0.541, Test Acc 83.27
Round   8, Train Loss 0.094, Train Acc 71.45, Test Loss 0.697, Test Acc 71.83
Round   9, Train Loss 0.101, Train Acc 83.00, Test Loss 0.498, Test Acc 83.02
Round  10, Train Loss 0.072, Train Acc 86.32, Test Loss 0.390, Test Acc 87.08
Round  11, Train Loss 0.078, Train Acc 88.61, Test Loss 0.346, Test Acc 89.27
Round  12, Train Loss 0.065, Train Acc 83.81, Test Loss 0.479, Test Acc 83.96
Round  13, Train Loss 0.061, Train Acc 86.89, Test Loss 0.394, Test Acc 87.22
Round  14, Train Loss 0.061, Train Acc 87.73, Test Loss 0.371, Test Acc 88.05
Round  15, Train Loss 0.089, Train Acc 90.72, Test Loss 0.276, Test Acc 91.45
Round  16, Train Loss 0.066, Train Acc 91.47, Test Loss 0.252, Test Acc 92.04
Round  17, Train Loss 0.066, Train Acc 84.89, Test Loss 0.425, Test Acc 85.12
Round  18, Train Loss 0.070, Train Acc 87.92, Test Loss 0.338, Test Acc 88.89
Round  19, Train Loss 0.065, Train Acc 87.69, Test Loss 0.350, Test Acc 88.19
Round  20, Train Loss 0.060, Train Acc 86.99, Test Loss 0.334, Test Acc 87.51
Round  21, Train Loss 0.041, Train Acc 92.33, Test Loss 0.235, Test Acc 92.51
Round  22, Train Loss 0.052, Train Acc 88.21, Test Loss 0.336, Test Acc 88.79
Round  23, Train Loss 0.061, Train Acc 92.27, Test Loss 0.218, Test Acc 92.86
