Round   0, Train Loss 1.840, Train Acc 36.02, Test Loss 1.845, Test Acc 36.05
Round   1, Train Loss 1.660, Train Acc 39.32, Test Loss 1.733, Test Acc 39.30
Round   2, Train Loss 1.578, Train Acc 41.36, Test Loss 1.679, Test Acc 41.29
Round   3, Train Loss 1.550, Train Acc 42.95, Test Loss 1.643, Test Acc 42.62
Round   4, Train Loss 1.529, Train Acc 43.98, Test Loss 1.613, Test Acc 43.90
Round   5, Train Loss 1.476, Train Acc 44.71, Test Loss 1.597, Test Acc 43.61
Round   6, Train Loss 1.458, Train Acc 45.65, Test Loss 1.574, Test Acc 45.30
Round   7, Train Loss 1.419, Train Acc 46.08, Test Loss 1.565, Test Acc 45.42
Round   8, Train Loss 1.436, Train Acc 46.96, Test Loss 1.551, Test Acc 45.90
Round   9, Train Loss 1.415, Train Acc 47.49, Test Loss 1.547, Test Acc 46.38
Round  10, Train Loss 1.392, Train Acc 47.99, Test Loss 1.542, Test Acc 46.44
Round  11, Train Loss 1.381, Train Acc 48.13, Test Loss 1.532, Test Acc 46.86
Round  12, Train Loss 1.389, Train Acc 48.64, Test Loss 1.519, Test Acc 47.09
Round  13, Train Loss 1.352, Train Acc 49.00, Test Loss 1.506, Test Acc 47.66
Round  14, Train Loss 1.342, Train Acc 49.02, Test Loss 1.514, Test Acc 47.76
Round  15, Train Loss 1.331, Train Acc 49.48, Test Loss 1.505, Test Acc 47.75
Round  16, Train Loss 1.307, Train Acc 50.12, Test Loss 1.507, Test Acc 48.02
Round  17, Train Loss 1.356, Train Acc 49.89, Test Loss 1.498, Test Acc 48.35
Round  18, Train Loss 1.332, Train Acc 50.78, Test Loss 1.486, Test Acc 48.78
Round  19, Train Loss 1.323, Train Acc 51.19, Test Loss 1.479, Test Acc 48.42
Round  20, Train Loss 1.354, Train Acc 50.97, Test Loss 1.480, Test Acc 48.56
Round  21, Train Loss 1.307, Train Acc 51.39, Test Loss 1.483, Test Acc 48.74
Round  22, Train Loss 1.337, Train Acc 51.64, Test Loss 1.475, Test Acc 48.38
Round  23, Train Loss 1.334, Train Acc 51.88, Test Loss 1.475, Test Acc 49.00
Round  24, Train Loss 1.262, Train Acc 51.49, Test Loss 1.473, Test Acc 49.16
Round  25, Train Loss 1.289, Train Acc 52.04, Test Loss 1.471, Test Acc 49.38
Round  26, Train Loss 1.276, Train Acc 52.44, Test Loss 1.468, Test Acc 49.51
Round  27, Train Loss 1.269, Train Acc 52.69, Test Loss 1.451, Test Acc 49.68
Round  28, Train Loss 1.260, Train Acc 52.46, Test Loss 1.460, Test Acc 49.49
Round  29, Train Loss 1.264, Train Acc 52.79, Test Loss 1.459, Test Acc 49.43
Round  30, Train Loss 1.248, Train Acc 53.02, Test Loss 1.445, Test Acc 49.76
Round  31, Train Loss 1.257, Train Acc 53.40, Test Loss 1.440, Test Acc 50.24
Round  32, Train Loss 1.243, Train Acc 53.48, Test Loss 1.443, Test Acc 50.41
Round  33, Train Loss 1.250, Train Acc 53.62, Test Loss 1.448, Test Acc 50.37
Round  34, Train Loss 1.229, Train Acc 53.50, Test Loss 1.449, Test Acc 49.95
Round  35, Train Loss 1.265, Train Acc 54.29, Test Loss 1.440, Test Acc 50.29
Round  36, Train Loss 1.224, Train Acc 54.32, Test Loss 1.443, Test Acc 50.44
Round  37, Train Loss 1.218, Train Acc 53.79, Test Loss 1.439, Test Acc 49.54
Round  38, Train Loss 1.188, Train Acc 54.19, Test Loss 1.444, Test Acc 50.19
Round  39, Train Loss 1.220, Train Acc 54.76, Test Loss 1.438, Test Acc 50.19
Round  40, Train Loss 1.186, Train Acc 54.62, Test Loss 1.437, Test Acc 50.55
Round  41, Train Loss 1.212, Train Acc 54.65, Test Loss 1.438, Test Acc 50.28
Round  42, Train Loss 1.219, Train Acc 55.03, Test Loss 1.430, Test Acc 50.93
Round  43, Train Loss 1.220, Train Acc 55.25, Test Loss 1.437, Test Acc 51.31
Round  44, Train Loss 1.203, Train Acc 55.07, Test Loss 1.435, Test Acc 50.78
Round  45, Train Loss 1.227, Train Acc 55.67, Test Loss 1.425, Test Acc 51.47
Round  46, Train Loss 1.204, Train Acc 55.42, Test Loss 1.425, Test Acc 50.67
Round  47, Train Loss 1.201, Train Acc 55.47, Test Loss 1.431, Test Acc 51.15
Round  48, Train Loss 1.169, Train Acc 55.60, Test Loss 1.433, Test Acc 51.12
Round  49, Train Loss 1.190, Train Acc 55.43, Test Loss 1.427, Test Acc 50.63
