Round   0, Train Loss 0.072, Train Acc 42.97, Test Loss 1.750, Test Acc 42.82
Round   1, Train Loss 0.067, Train Acc 53.87, Test Loss 1.401, Test Acc 54.03
Round   2, Train Loss 0.040, Train Acc 48.26, Test Loss 1.341, Test Acc 48.11
Round   3, Train Loss 0.055, Train Acc 64.68, Test Loss 0.923, Test Acc 65.72
Round   4, Train Loss 0.049, Train Acc 69.67, Test Loss 0.984, Test Acc 69.82
Round   5, Train Loss 0.071, Train Acc 73.77, Test Loss 0.757, Test Acc 74.13
Round   6, Train Loss 0.042, Train Acc 76.68, Test Loss 0.649, Test Acc 77.09
Round   7, Train Loss 0.035, Train Acc 78.54, Test Loss 0.624, Test Acc 79.49
Round   8, Train Loss 0.037, Train Acc 77.36, Test Loss 0.640, Test Acc 76.96
Round   9, Train Loss 0.032, Train Acc 79.70, Test Loss 0.615, Test Acc 79.66
Round  10, Train Loss 0.033, Train Acc 75.13, Test Loss 0.760, Test Acc 75.23
Round  11, Train Loss 0.053, Train Acc 83.99, Test Loss 0.509, Test Acc 83.95
Round  12, Train Loss 0.022, Train Acc 84.20, Test Loss 0.497, Test Acc 84.26
Round  13, Train Loss 0.036, Train Acc 84.60, Test Loss 0.518, Test Acc 83.92
Round  14, Train Loss 0.041, Train Acc 87.97, Test Loss 0.407, Test Acc 87.61
Round  15, Train Loss 0.022, Train Acc 87.52, Test Loss 0.408, Test Acc 87.96
Round  16, Train Loss 0.032, Train Acc 78.76, Test Loss 0.598, Test Acc 79.05
Round  17, Train Loss 0.048, Train Acc 87.12, Test Loss 0.389, Test Acc 87.20
Round  18, Train Loss 0.031, Train Acc 85.70, Test Loss 0.445, Test Acc 85.59
Round  19, Train Loss 0.030, Train Acc 89.46, Test Loss 0.330, Test Acc 89.77
Round  20, Train Loss 0.046, Train Acc 89.69, Test Loss 0.327, Test Acc 89.79
Round  21, Train Loss 0.025, Train Acc 90.15, Test Loss 0.320, Test Acc 90.34
Round  22, Train Loss 0.023, Train Acc 88.82, Test Loss 0.355, Test Acc 88.67
Round  23, Train Loss 0.028, Train Acc 90.45, Test Loss 0.325, Test Acc 90.39
Round  24, Train Loss 0.033, Train Acc 85.36, Test Loss 0.438, Test Acc 85.15
Round  25, Train Loss 0.032, Train Acc 85.28, Test Loss 0.455, Test Acc 84.68
Round  26, Train Loss 0.029, Train Acc 90.04, Test Loss 0.329, Test Acc 89.95
Round  27, Train Loss 0.023, Train Acc 88.54, Test Loss 0.347, Test Acc 88.50
Round  28, Train Loss 0.027, Train Acc 89.34, Test Loss 0.333, Test Acc 89.29
Round  29, Train Loss 0.025, Train Acc 84.13, Test Loss 0.449, Test Acc 83.59
Round  30, Train Loss 0.024, Train Acc 88.67, Test Loss 0.341, Test Acc 88.90
Round  31, Train Loss 0.011, Train Acc 89.06, Test Loss 0.340, Test Acc 89.12
Round  32, Train Loss 0.022, Train Acc 92.49, Test Loss 0.256, Test Acc 92.25
Round  33, Train Loss 0.020, Train Acc 89.17, Test Loss 0.318, Test Acc 89.62
Round  34, Train Loss 0.030, Train Acc 89.98, Test Loss 0.318, Test Acc 89.75
Round  35, Train Loss 0.029, Train Acc 89.87, Test Loss 0.326, Test Acc 89.22
Round  36, Train Loss 0.043, Train Acc 92.79, Test Loss 0.239, Test Acc 92.53
Round  37, Train Loss 0.018, Train Acc 89.48, Test Loss 0.338, Test Acc 89.17
Round  38, Train Loss 0.035, Train Acc 89.20, Test Loss 0.345, Test Acc 89.01
Round  39, Train Loss 0.033, Train Acc 92.37, Test Loss 0.244, Test Acc 92.33
Round  40, Train Loss 0.037, Train Acc 92.42, Test Loss 0.251, Test Acc 92.09
Round  41, Train Loss 0.019, Train Acc 92.77, Test Loss 0.234, Test Acc 92.60
Round  42, Train Loss 0.017, Train Acc 90.52, Test Loss 0.294, Test Acc 90.38
Round  43, Train Loss 0.027, Train Acc 93.77, Test Loss 0.214, Test Acc 93.79
Round  44, Train Loss 0.031, Train Acc 92.58, Test Loss 0.251, Test Acc 92.37
Round  45, Train Loss 0.026, Train Acc 92.41, Test Loss 0.249, Test Acc 92.13
Round  46, Train Loss 0.033, Train Acc 93.40, Test Loss 0.218, Test Acc 93.11
Round  47, Train Loss 0.018, Train Acc 93.10, Test Loss 0.229, Test Acc 92.71
Round  48, Train Loss 0.023, Train Acc 93.31, Test Loss 0.224, Test Acc 92.88
Round  49, Train Loss 0.023, Train Acc 92.31, Test Loss 0.258, Test Acc 91.69
Round  50, Train Loss 0.024, Train Acc 92.86, Test Loss 0.224, Test Acc 92.82
Round  51, Train Loss 0.029, Train Acc 94.44, Test Loss 0.194, Test Acc 93.92
Round  52, Train Loss 0.017, Train Acc 92.88, Test Loss 0.233, Test Acc 92.32
Round  53, Train Loss 0.017, Train Acc 91.55, Test Loss 0.262, Test Acc 91.30
Round  54, Train Loss 0.022, Train Acc 89.96, Test Loss 0.304, Test Acc 89.75
Round  55, Train Loss 0.030, Train Acc 93.05, Test Loss 0.247, Test Acc 92.89
Round  56, Train Loss 0.018, Train Acc 94.77, Test Loss 0.186, Test Acc 94.50
Round  57, Train Loss 0.026, Train Acc 94.77, Test Loss 0.183, Test Acc 94.54
Round  58, Train Loss 0.026, Train Acc 93.34, Test Loss 0.224, Test Acc 92.64
Round  59, Train Loss 0.017, Train Acc 93.09, Test Loss 0.234, Test Acc 92.81
Round  60, Train Loss 0.019, Train Acc 93.64, Test Loss 0.211, Test Acc 93.13
Round  61, Train Loss 0.031, Train Acc 88.48, Test Loss 0.360, Test Acc 87.13
Round  62, Train Loss 0.017, Train Acc 87.51, Test Loss 0.368, Test Acc 86.68
Round  63, Train Loss 0.013, Train Acc 94.30, Test Loss 0.203, Test Acc 93.81
Round  64, Train Loss 0.017, Train Acc 94.23, Test Loss 0.206, Test Acc 93.79
Round  65, Train Loss 0.029, Train Acc 93.75, Test Loss 0.222, Test Acc 93.23
Round  66, Train Loss 0.024, Train Acc 92.66, Test Loss 0.247, Test Acc 92.29
Round  67, Train Loss 0.023, Train Acc 92.08, Test Loss 0.262, Test Acc 91.58
Round  68, Train Loss 0.019, Train Acc 94.59, Test Loss 0.190, Test Acc 94.15
Round  69, Train Loss 0.013, Train Acc 92.67, Test Loss 0.230, Test Acc 92.29
Round  70, Train Loss 0.016, Train Acc 92.21, Test Loss 0.243, Test Acc 91.96
Round  71, Train Loss 0.017, Train Acc 92.64, Test Loss 0.236, Test Acc 91.99
Round  72, Train Loss 0.019, Train Acc 94.56, Test Loss 0.192, Test Acc 94.14
Round  73, Train Loss 0.015, Train Acc 91.62, Test Loss 0.259, Test Acc 91.53
Round  74, Train Loss 0.032, Train Acc 94.97, Test Loss 0.179, Test Acc 94.27
Round  75, Train Loss 0.017, Train Acc 95.72, Test Loss 0.152, Test Acc 95.22
Round  76, Train Loss 0.025, Train Acc 93.49, Test Loss 0.206, Test Acc 93.22
Round  77, Train Loss 0.018, Train Acc 93.87, Test Loss 0.202, Test Acc 93.46
Round  78, Train Loss 0.018, Train Acc 94.55, Test Loss 0.192, Test Acc 94.11
Round  79, Train Loss 0.020, Train Acc 94.29, Test Loss 0.198, Test Acc 94.03
Round  80, Train Loss 0.021, Train Acc 95.01, Test Loss 0.177, Test Acc 94.52
Round  81, Train Loss 0.019, Train Acc 95.11, Test Loss 0.169, Test Acc 94.66
Round  82, Train Loss 0.024, Train Acc 94.02, Test Loss 0.206, Test Acc 93.41
Round  83, Train Loss 0.016, Train Acc 94.72, Test Loss 0.182, Test Acc 94.11
Round  84, Train Loss 0.016, Train Acc 95.67, Test Loss 0.155, Test Acc 95.40
Round  85, Train Loss 0.015, Train Acc 93.96, Test Loss 0.214, Test Acc 93.33
Round  86, Train Loss 0.026, Train Acc 94.55, Test Loss 0.186, Test Acc 94.01
Round  87, Train Loss 0.016, Train Acc 95.69, Test Loss 0.164, Test Acc 95.28
Round  88, Train Loss 0.015, Train Acc 95.60, Test Loss 0.154, Test Acc 95.10
Round  89, Train Loss 0.018, Train Acc 95.88, Test Loss 0.150, Test Acc 95.46
Round  90, Train Loss 0.020, Train Acc 94.08, Test Loss 0.191, Test Acc 93.67
Round  91, Train Loss 0.017, Train Acc 95.26, Test Loss 0.160, Test Acc 94.75
